DATE,MABMM301USA189S
1960-01-01,304308333333.333
1961-01-01,324816666666.667
1962-01-01,350075000000.0
1963-01-01,379575000000.0
1964-01-01,409350000000.0
1965-01-01,442508333333.333
1966-01-01,471358333333.333
1967-01-01,503591666666.667
1968-01-01,545308333333.33307
1969-01-01,578658333333.334
1970-01-01,601400000000
1971-01-01,674391666666.667
1972-01-01,758133333333.333
1973-01-01,831800000000
1974-01-01,880666666666.6659
1975-01-01,963666666666.6659
1976-01-01,1086591666666.6702
1977-01-01,1221383333333.33
1978-01-01,1322408333333.3298
1979-01-01,1425766666666.6702
1980-01-01,1540350000000.0
1981-01-01,1679591666666.6702
1982-01-01,1831225000000.0
1983-01-01,2054458333333.3298
1984-01-01,2218966666666.67
1985-01-01,2416275000000.0
1986-01-01,2612666666666.67
1987-01-01,2782150000000.0
1988-01-01,2931033333333.33
1989-01-01,3053850000000.0
1990-01-01,3222258333333.33
1991-01-01,3342266666666.67
1992-01-01,3404833333333.33
1993-01-01,3439933333333.33
1994-01-01,3483308333333.33
1995-01-01,3555375000000.0
1996-01-01,3728341666666.67
1997-01-01,3925308333333.33
1998-01-01,4206024999999.9995
1999-01-01,4517133333333.329
2000-01-01,4790525000000.0
2001-01-01,5204450000000.0
2002-01-01,5592108333333.33
2003-01-01,5981700000000.0
2004-01-01,6266400000000.0
2005-01-01,6533966666666.67
2006-01-01,6875975000000.0
2007-01-01,7296700000000.0
2008-01-01,7790400000000.0
2009-01-01,8416216666666.671
2010-01-01,8626616666666.671
2011-01-01,9256158333333.34
2012-01-01,10050408333333.3
2013-01-01,10727666666666.701
2014-01-01,11389608333333.3
2015-01-01,12046341666666.7
2016-01-01,12861700000000.0
2017-01-01,13591608333333.3
2018-01-01,14103925000000.0
2019-01-01,14817700000000.0
2020-01-01,17649566666666.7
2021-01-01,20509591666666.7
2022-01-01,21572900000000.0
